sku,weight (kg),length (cm),width (cm),height (cm)
4870-85860-801,,,,
4870-85760-801,,,,
4870-84910-802,,,,
4870-82790-801,,,,
4870-65340-802,,,,
4870-65340-801,,,,
484429-001,,,,
482-BBDJ,10,,,Yes
481653-002,,,,
48130,,,,
48098,,15,,
48084,,20,,
48038,,15,,
47901,0.01,,2,0.5900000000000001
47900,,,,
47898,,,,
47897,,,,
47895,0.01,,2,0.5900000000000001
47894,0.01,,2,0.5900000000000001
47892,0.01,,2,0.5900000000000001
47891,0.01,,2,0.5900000000000001
47688,,,,
47474,,10,,
47456,,20,,
47267,,7.5,,
47262,,1,,
47228002,64,,44.9,36
47139,,,,
470-ACUB,,,,
4708C001,,,,
47074503,,,,
4690C001,,,,
46861308,,,,
465-8943,,,,
46507416,,,,
46507415,,,,
46507307,,,,
46507306,,,,
46490403,,,,
46490401,,,,
46484124,,,,
46484107,,,,
46484106,,,,
46479,,,,
46-46758-3,,,,
46443120,,,,
46364,,10,,
46345,,15,,
460493-001,,,,
46-00870-6,,,,
45WUSB-C-BTI-UK,,,,
45N0505,,,,
45N0503,,,,
45B1U6900CH/00,17.3,,118,23.5
45B1U6900C/00,17.1,,118,23.5
4599B001,0.152,,,
45862822,,,,
45862820,,,,
45850304,,,,
45830202,,,,
45759,0.18,1310,3.0300000000000002,7
45757,0.18,820,3.0300000000000002,7
456-9008HD,,,,
456-8946,,,,
456-8404,,,,
456-8055,,,,
456-8044,,,,
4565C001,,,,
4563C001,,,,
456-240,,,,
456-239,,,,
456-208,,,,
45536512,,,,
45536511,,,,
45536509,,,,
45536507,2.5,,53.6,11.1
45536416,,,,
45531503,,,,
45531113,,,22.5,20
45451,Performance,0.5,,
454232-S21,,,,
4540B019,,,,
45396304,,,,
45396303,,,,
45396302,,,,
45395704,,,,
45395703,,,,
45395702,,,,
45381102,,,,
45380003,,,,
453154-B21,0.454,,,
4529B017,,,,
452-10759,,,,
451-BCNX,,,,
451-BCNS,,,,
4518C001,,,,
45103721,,,,
45103715,,,,
45103714,,,,
45103713,,,,
450-ALJI-BTI,,,,
450-AKVB,,,,
450-AKQI,,,,
450-19040,,,,
450-19038,0.32,1,,
450-19035,0.32,1,,
450-18147,,,,
450-18146,,,,
450-16862,,,,
450-16681,,,,
450-15542,,,,
450-15538,,,,
450-15528,,1,,
450-15526,,,,
450-15509,,2,,
450-14949,,1,,
450140,,,,
450-13940,0.15,1.8,4.6,9.7
450-13893,,,,
450-13888,,,,
450-13643,,,,
450134,,,,
450-12100,,1,,
450-11861,,,,
450-11857,,,,
450-11854,,,,
450-11852,,,,
450-11850,,,,
450-11849,,1,,
450-11743,,1,,
450-11625,,,,
450-11618,,,,
450-11344,,1,,
450-11067,,,,
450-11061,,,,
450-11049,,,,
450-10682,,,,
450-10462,,,,
450042,,,,
450019,,,,
44844514,,,,
44844476,,,,
4480C001,,,,
447VR,,,,
4474C001,0.064,,,
4470C008,,,,
44575714,,,,
44472102,,,,
444444785,59.5,,71.8,96.5
444444784,52.4,,71.8,80
444444080,94,,103,103.5
444442598,20,,59.5,46
444411880,139,,116,97.5
444411879,132,,116,97.5
444411877,142,,116,97.5
444411876,142,,116,97.5
444411875,130,,106,97.5
444411873,124,,106,97.5
444411872,134,,106,97.5
444411871,134,,106,97.5
444411870,98.6,,96,97.5
444411869,98.6,,96,97.5
444411868,102.6,,96,97.5
444411867,102.6,,96,97.5
444411866,130,,116,97.5
444411865,130,,116,97.5
444411864,130,,116,97.5
444411863,140,,116,97.5
444411862,140,,116,97.5
444411859,122,,106,97.5
444411858,122,,106,97.5
444411857,132,,106,97.5
444411856,132,,106,97.5
444411855,132,,106,97.5
444411854,96.6,,96,97.5
444411853,96.6,,96,97.5
444411852,96.6,,96,97.5
444411851,106,,96,97.5
444411850,106,,96,97.5
444411849,106,,96,97.5
444411848,76,,64.2,98.8
444411846,76,,64.2,98.8
444411845,7.8,,64.2,98.8
444411842,110,,116,97.5
444411841,110,,116,97.5
444411840,110,,116,97.5
444411838,108,,116,97.5
444411837,108,,116,97.5
444411836,106,,116,97.5
444411835,106,,116,97.5
444411834,106,,116,97.5
444411832,104,,106,97.5
444411830,102,,106,97.5
444411829,102,,106,97.5
444411828,102,,106,97.5
444411826,100,,106,97.5
444411824,98.4,,96,97.5
444411823,98.4,,96,97.5
444411822,98.4,,96,97.5
444411820,96.4,,96,97.5
444411819,96.4,,96,97.5
444411818,94.4,,96,97.5
444411817,94.4,,96,97.5
444411815,71,,64.2,97.5
444411814,73,,64.2,97.5
444411813,73,,64.2,97.5
444411812,73,,64.2,97.5
444411810,71,,64.2,97.5
444411809,71,,64.2,97.5
444411808,110,,116,97.5
444411807,110,,116,97.5
444411806,108,,116,97.5
444411805,108,,116,97.5
444411800,102,,106,97.5
444411799,102,,106,97.5
444411796,98.4,,96,97.5
444411795,98.4,,96,97.5
444411794,96.4,,96,97.5
444411793,96.4,,96,97.5
444411791,94.4,,96,97.5
444411683,17.1,,97.2,60.3
444411679,15.4,,67.2,60.3
444411668,135.9,,97,58
444411666,19.4,,127.2,60.3
444411665,18.6,,127.2,60.3
444411658,0.0162,,117,58
444411656,0.015,,97,58
444411655,0.015,,117,58
444411654,0.015,,117,58
444411653,0.015,,117,58
444411652,0.015,,117,58
444411651,0.014,,97,58
444411647,0.0205,,127.2,60.3
444411645,0.0179,,97.2,60.3
444411636,12.8,,66.4,16.6
444411635,9.8,,66.4,16.6
444411631,53.7,,69.3,80
444411630,53.7,,69.3,80
444411627,3.82,,65,67.1
444411626,38.2,,65,67.1
444411487,110,,104.5,104.5
444411403,5.96,,71.3,96.5
444410185,11.5,,69,11.5
444410037,45.8,,64.8,67
44369901,,,,
44318618,,,,
44274502,,,,
44261,,,,
441-59,0.25,,8.1,16.4
441-58,0.15,,10,16.3
441-57,0.15,,10,16.3
441-24,0.06,,9,16.6
441-03,0.086,,9.7,17.9
440-BBHT,,,,
44059254,0.68,,38.3,11
44059212,0.7,,38.8,11
44059210,0.68,,38.8,11
43V6C-UK,,,106.9,64.3
43UH7N-E.AEK,12.8,,105.5,66
43S5400AK,8,,107.5,65.2
43RC650K,9.2,,107.5,64.1
43P7K-UK,,,107.5,64.1
43P755K,9.01,,107.5,64.1
43N05AA#ABB,0.12,,12.9,4.7
43N05AA,0.12,,12.9,4.7
43C655K,9.2,,,
439Z3EA,,,6.9,30.5
43979202,0.42,,26.2,7.1
43870021,1.31,,37.2,23.1
43870007,1.31,,37.2,23.1
43870006,1.31,,37.2,23.1
43870005,1.31,,37.2,23.1
43837131,0.7,,48.4,11.7
43837130,0.7,,48.4,11.7
43490003,7.5,,106,21
43459435,,,,
43429,,850,,
43410,0.9,,23.5,8
43408,0.6,,20,7.5
43406,Yes,,1,
43381907,0.42,,30.2,7.2
43381708,1.31,,37.2,23.1
43381706,1.31,,37.2,23.1
43373,0.2,,18.5,2.5
43372,0.4,,17.4,5.6
43366,1,,Performance,
43365,,,,
43337,0.032,,17.4,19.4
43334,Performance,10000,10000,3
43324424,0.537,,30.2,7.2
43324,20,Technical details,70,5000
43312,0.039,,5.8,0.9
43298,0.03,,19.4,
43228,0.511,,15.3,7.1
431958-S21,,,,
431944-S21,,,,
43141,,,,
43128,20,0.8,5000,Packaging content
431008,,,,
43056,,,,
430351,,,,
42T5282,0.26,,4.3,2.9
42T4423,,,,
42T4421,,,,
429-4002,,0.72,14.6,
42918107,2.34,,52.8,20
42918106,2.32,,52.8,20
42918105,2.34,,52.8,20
428K6AA,0.21,,17,5.4
428H5AA,0.21,,17,5.4
42869403,0.7,,,
42805,0.06,,,
42783,0.463,12,,
42681,,,21.5,5
42679,0.08,,5.2,2
42631,0.6,20,,
4235C001,,,,
42-3548,,,,
42342,,0.9,9,2.5
42-2709,,,,
42204253-04E,,2.3,,
42127455,,,,
42127406,0.54,,30.2,7.2
421-09,0.75,,3,8
421-05,0.7,,18,20
421-04,0.35,,8.2,17
421-03,0.4,,18,8.5
421-02,0.1,,9.5,15
421-01,0.1,,9.5,15
420-99,0.924,,11.8,21
420-94,0.28,,9.2,20
420-92,0.62,,1.4,21.4
420-91,0.302,,9.8,3.8
420-84,3.1,,24,23
420-82,9.5,,54,70
420-81,4.8,,37,11
420-80,2.4,,31,38
420-78,3.7,,31.5,28
420-53,0.3,,11,21.5
420-35,0.45,,11,21.5
420096,,,,
416890,,,,
4167C026,,,,
416712,,,,
41647,,,,
414865,,,,
411844,,,,
4115C001,,,,
41059,,5,,
41058,,3,,
410056,0.29,,,
40Z29AA#ABB,12,,69.5,48.3
40Z26AT#ABB,17.7,,90.5,48.1
40Z26AA#ABB,17.7,,90.5,48.1
40XJC,,,9.26,29
40RS550K,5,,80,50.6
40Q45B#687,10.2,,50.6,40.8
40N9123,19.1,,33.2,51.9
40M7581,,,,
40M7569,,,,
40M7566,,,,
40LF2F53DB,8.15,,98.5,60.8
40CLCBLBAR,0.25,,14,7.7
40CLCBCTRL,0.81,,28,11
40C2300,22.5,,65.3,52.1
40B90100UK,0.6355,,15,5
40B90000WW,0.137,,12,2
40B30090EU,0.85,,18.8,7.2
40B20135IT,1.25,,21,7.5
40B20135EU,1.25,,21,7.5
40B20135DK,1.25,,21,7.5
40B1U5601H/00,17.8,,107,50.7
40B1U5600/00,17.6,,107,50.7
40B10135EU,1.23,,27,8.5
40AV0135IT,1.21,,20.4,7.5
40AAPF03-BF5,2.24,,35.2,43.4
40A40090SA,,,,
40A40090IT,,,,
40A40090DK,,,,
40982,4.53,,30,20
40957,12,,,
40955,,,,
40923,,,,
407718,,,,
407324,,,,
407318,,,,
40710,2.33,,43,13.5
40709,2.33,,43,13.5
40708,2.86,,32,40
40707,2.47,,32.5,11
406L9AA,,,25.080000000000002,6.5
40692,,,8.5,57
406837,,,,
40629303,,,,
405783,,,,
40-4421,,,,
40-4352,,,,
40-4108,,,,
40-4045,,,,
40-4043,,,,
403-BBMT,,,,
402965,0.405,9.23,,
40-1042,,3,,
40-1040,,,,
400003,,,,
400001,,,,
3WT91A#B19,126.5,,85.6,155.6
3V444EA#ABU,,,6.7,26
3V2X4AA#ABB,0.07,,19,2.7
3V0G9AA#ABB,0.12,,12.9,4.7
3UP82ET,1.33,,31,1.77
3TK87AA,0.01476,,13.330000000000002,0.31
3STSC10,,,,
3SM36B,0.37,1,9.5,3
3RW67AA,,,,
3QA55A#B19,26.3,,59.7,49
3PZ95A#B19,21.6,,49.7,58.3
3PZ15A,11.4,,44.3,46.4
3PTY-SC-2000-CF1-01,,,,
3MZ76A,3.81,,,21.59
3MP2AG-MONITOR-ARM,8.9,,55.5,11.5
3M1A3SG-MONITOR-ARM,10,,33,15
3LCST1.5,,1.5,,
3LCSC10,,,,
3L1F0AA,0.84,,45.6,4.4
3J122AA#ABB,0.09,,21.5,2.8
3J122AA,0.09,,21.5,2.8
3HWPP-BTI,,,,
3G652F,9.8,,43.8,46.6
3G651F#B19,9.8,,43.8,46.6
3G651F,9.8,,43.8,46.6
3G630F#B19,13.6,,49.7,49
3G630F#ABY,13.6,,49.7,49
3G629F#B19,13.6,,49.7,49
3G629F,13.6,,49.7,49
3EK11A#B19,113,,147.7,80
3E5F9AA,0.54,,38,27
3E5F8AA,0.66,,39,29
3E2U7AA,0.37,,25,36
3E2U6AA,0.64,,33.5,45
3E2U5UT,0.79,,32,47
3-DX-ST-ST-5-AA,,,,
3C753A,9,,114,9.5
3BN67378AA,0.117,,4.85,11.9
3B4Q5UT#AC3,0.182,,13.5,4.8
3B4Q5UT,0.182,,13.5,4.8
3B4Q2AA#ABB,0.149,,8.5,12.1
39Y7937,,1.5,,
39Y7917,,2.8,,
39R7366,,,,
39548-KAT,,,,
39383,0.74,,21.5,7.5
39-3642,,305,,
39-3629,,305,,
39-3427A,,500,,
39-3426A,,500,,
39-3424,,500,,
39-3422A,,500,,
39-3421A,,500,,
39-3420A,,500,,
39-3419A,,500,,
39-3418A,,500,,
39-3409,,500,,
39314,1.61,,30,11.5
39313,0.98,,29.2,5.5
39-3115,,305,,
39-3100,,305,,
38S0913,25.1,,58.4,65.9
38S0510,17.2,,47,42.2
38S0313,15.3,,47,37.6
387577702,,,,
38535,0.51,,24,13
38534,0.458,,20,11.5
38533,,100,,
38532,,0.6,2.95,20
38530,,1,,
38528,,15,,
38527,,10,,
38480,,,,
38431,0.131,,17.4,2
38421,0.05,,13.3,
38398,0.73,,22,7
38395,0.95,,25.5,7.7
38392,0.9,,,
38385,1.26,,29.2,5.5
38384,0.2,,9.8,4.6
38365,1.3,,24.5,7.5
38364,0.96,,25.5,7.7
38359,4.06,,51,9.5
38339,0.088,,12.7,1.7
38334,2.83,,18,4.5
38296,0.114,,,
38222-01,,,,
381V1A#B19,12.6,,49.7,40.9
381L0A#B19,9.8,,43.2,38.8
38146,,,,
37980,35,,,
37979,,,28.5,6.1
3797802500-SVK,,,,
37974,,,53,5
37973,Packaging data,,,
37972,,,67.2,3.5
37971,Other features,,,
37970,,,22.3,2.5
37900598,33.2,,64,88
37900594,59,,57.3,184
377CF,,,,
375872-S21,,,,
375861-S21,,,,
3713C008,,,,
3712C009,,,,
3712C008,,,,
37001605,28,,57.5,89
37001594,30,,58.3,89
37001592,30,,58.3,89
36913,,,,
36901017,8.85,,65,54
36900984,10.5,,95,54
36900938,14.5,,64,54
3681C001,,,,
367-6199-4,1.36,,52.07000000000001,7.62
367-5938-4,1.93,,50.5,7
367-5935,0.513,,15.2,13
367-5922,0.10432,,6.409999999999999,21.32
367-5876,0.09,,9.52,6.35
367-5763,0.099,,8.89,6.029999999999999
36629,,,,
36495,,,,
3630B001,,,,
36291,,1,,
3624C001,,,,
361438,,,,
3531B001,0.1,,11.5,10
3526C002,,,,
350025,,,,
34WR55QK-B.AEK,10.3,,98.55,52.32000000000001
34WR50QK-B.AEK,8.4,,98.6,52.4
34M2C6500/00,10.6,,90,22.6
34M2C3500L/00,9.47,,93,48
34E6UC,9.05,,,
34E1C5600HE/00,12.4,,98,51.9
34C29-PRIVACY-SCREEN,0.7,,87.5,0.5
34B1U5600CH/00,15.4,,90.4,52.5
3492C001,,,,
3491C001,,,,
3490C001,,,,
34901620,31.8,,63,88
34901618,57,,58,183.2
34901599,67.8,,57.3,184
34901598,67.8,,57.3,184
34901582,63.5,,57.3,184
34901284,55.1,,65.5,87
34901283,53.6,,65.5,87
34901204,20.9,,17.5,89
3489C001,,,,
3488C001,,,,
3484C001,,,,
346P1CRH/00,15.5,,90.4,52.5
346E2LAE/00,10.7,,93,52.5
345-BDRK,,,,
345-BDOM,,,,
3444C001,,,,
3430110,,300,11,
34005696,104,,96.8,193
34005677,57,,58,182
34005675,57,,58,182
34005674,57,,58,182
34005673,57,,58,182
34005554,29,,57,88.5
34005553,29,,57,88.5
33L3537,,,,
3380C153,0.44,1,13.25,8
33802049,7.64,,63.4,12.7
33703586,29,,62,64.6
3345110,,450,11,
330-4113,,,,
330-1828,0.345,1.8,7.109999999999999,1.52
330-1827,0.35,2,7.109999999999999,1.52
330-1825,0.345,0.914,,
33.HEFN2.002,,,,
32WF2F53DB,5.3,,79.5,53
32UQ850V-W.AEU,10.8,,82.1,21.3
32M2N8900/00,13.7,,84,51
32M2N6800M/00,12.2,,93,52.6
32M2C5501/00,7.72,,73,44.5
32M2C5500W/00,11.1,,90,52.7
32M2C3500L/00,9.03,,78,52
32GS95UV-B.AEK,13.9,,97.3,18.3
32GS85Q-B.AEK,10.3,,96.9,53.1
32GS60QC-B.AEKQ,7.7,1.8,78,50
32E1N1800LA/00,9.68,,87,51.2
32B1U3900/00,16.2,,93,56.3
32B1N3800/00,16,,93,56.3
329P1H/00,15.5,,93,56.3
32901622,37,,64,89.6
32901593,37,,64,89.6
32901510,41,,51,88.2
326P1H/00,15.5,,93,56.3
32686,0.15,,,
325B1L/00,13.6,,93,56.3
325-27,0.15,,14,16
32-3765MB,,5,,
32-3765,,5,,
32-3731,,,,
32-3629MRB,,0.5,,
5S4C0AA#ABB,0.008,,6.959999999999999,0.12
5Q7R2EA#ABU,,,6.9,30.5
5PX2200IRTNG2,,,,
5PS1H31778,,,,
5PS1H31766,,,,
5PS1H31763,,,,
5PS1B88025,,,,
5PS1B88024,,,,
5PS1B88023,,,,
5PS1B35619,,,,
5PS0W84299,,,,
5PS0W84290,,,,
5PS0W48376,,,,
5PS0W36580,,,,
5PS0V08559,,,,
5PS0V08550,,,,
5PS0V08512,,,,
5PS0V07832,,,,
5PS0V07822,,,,
5PS0V07812,,,,
5PS0V07091,,,,
5PS0V07083,,,,
5PS0V07082,,,,
5PS0V07073,,,,
5PS0V07064,,,,
5PS0T35626,,,,
5PS0S92386,,,,
5PS0Q84400,,,,
5PS0Q84399,,,,
5PS0N74182,,,,
5PS0N74180,,,,
5PS0N73223,,,,
5PS0L55161,,,,
5PS0L55160,,,,
5PS0L55156,,,,
5PS0L55155,,,,
5PS0L55153,,,,
5PS0L55152,,,,
5PS0L55151,,,,
5PS0L55148,,,,
5PS0K82848,,,,
5PS0K82847,,,,
5PS0K82842,,,,
5PS0K82839,,,,
5PS0K82838,,,,
5PS0K82837,,,,
5PS0K82833,,,,
5PS0K82831,,,,
5PS0K82829,,,,
5PS0K82828,,,,
5PS0K82826,,,,
5PS0K82825,,,,
5PS0K82820,,,,
5PS0K82819,,,,
5PS0K82818,,,,
5PS0K82814,,,,
5PS0K18192,,,,
5PS0K18177,,,,
5PS0D80901,,,,
5PNND,,,,
5P850IRG2BS,14,,43.8,4.32
5P850IRG2,13.7,,43.8,4.32
5P650IRG2,,,,
5N21M38572,,,,
5N21M38544,,,,
5N21M38542,,,,
5N21M38521,,,,
5N21M38346,,,,
5N21M38318,,,,
5N21M38315,,,,
5N21M38296,,,,
5N21M38193,,,,
5N21M38156,,,,
5N21M38153,,,,
5N21M38124,,,,
5N21M37969,,,,
5N21M37927,,,,
5N21M37924,,,,
5N21M37895,,,,
5N21K05163,,,,
5N21K05162,,,,
5N21K05029,,,,
5N21K05028,,,,
5N21K05015,,,,
5N21K05014,,,,
5N21K05004,,,,
5N21H77238,,,,
5N21H77219,,,,
5N21H77095,,,,
5N21H77077,,,,
5N21H76868,,,,
5N21H76852,,,,
5N21D68292,,,,
5N21D68288,,,,
5N21D68218,,,,
5N21D68166,,,,
5N21D67982,,,,
5N21D67981,,,,
5N21D67980,,,,
5N20X70341,,,,
5N20X68863,,,,
5N20W68288,,,,
5N20W68228,,,,
5N20W68227,,,,
5N20V78021,,,,
5N20V44214,,,,
5N20V44203,,,,
5N20V44198,,,,
5N20V44156,,,,
5N20V44070,,,,
5N20V44059,,,,
5N20V44054,,,,
5N20V44012,,,,
5N20V43926,,,,
5N20V43915,,,,
5N20V43910,,,,
5N20V43868,,,,
5N20V43782,,,,
5N20V43770,,,,
5N20V43766,,,,
5N20V43724,,,,
5N20V43302,,,,
5MS0Z44663,,,,
5MS0Y65465,,,,
5MS0X67111,,,,
5MS0V05205,,,,
5MS0V05204,,,,
5MS0V05203,,,,
5MS0V05202,,,,
5MS0V05201,,,,
5MS0T37353,,,,
5M31M78272,,,,
5M31L87418,,,,
5M31L87394,,,,
5M31L87393,,,,
5M31L87378,,,,
5M31L87377,,,,
5M31L87360,,,,
5M31L87358,,,,
5M31K03093,,,,
5M31K03072,,,,
5M31K03060,,,,
5M31K03047,,,,
5M11L92844,,,,
5M11L92830,,,,
5M11L86079,,,,
5M11L86034,,,,
5M11L85936,,,,
5M11L64277,,,,
5M11L60921,,,,
5M11L60920,,,,
5M11L60919,,,,
5M11L60918,,,,
5M11L59461,,,,
5M11J05719,,,,
5M11J04803,,,,
5M11H62448,,,,
5M11H45720,,,,
5M11H26266,,,,
5M11G27322,,,,
5M11F25866,,,,
5M11F25865,,,,
5M11F25864,,,,
5M11F25863,,,,
5M11C53365,,,,
5M11C53346,,,,
5M11C53343,,,,
5M11C53328,,,,
5M11C53293,,,,
5M11C53274,,,,
5M11C53271,,,,
5M11C53256,,,,
5M11C43791,,,,
5M11C41049,,,,
5M11C41024,,,,
5M11C40977,,,,
5M11C40952,,,,
5M11C18653,,,,
5M11C18616,,,,
5M11A37962,,,,
5M11A37648,,,,
5M11A37303,,,,
5M11A35070,,,,
5M11A35069,,,,
5M11A34877,,,,
5M11A34876,,,,
5M10Z54354,,,,
5M10Z54353,,,,
5M10Z41494,,,,
5M10Z41492,,,,
5M10Z41450,,,,
5M10Z41449,,,,
5M10Z41282,,,,
5M10Z41281,,,,
5M10Z27370,,,,
5M10V17052,,,,
5M10V17022,,,,
5M10V16909,,,,
5M10V16863,,,,
5J.JNG05.001,,,,
5J.JNF05.001,,,,
5J.JND05.001,,,,
5J.JKG05.001,,,,
5J.J8A05.001,,,,
5J.J1Y01.001,,,,
5J.J1X05.001,,,,
5IN1SLTCH,,,,
5HX14A#BHC,AC,,23.8,8.5
5HH64F#B19,23.6,,59.7,49.2
5E8Q7EA#ABU,14.3,,31.4,56.3
5E8M7EA#ABU,27.9,,33.2,63.6
5D11J33858,,,,
5D11C19488,,,,
5D10Z72100,,,,
5D10Y68492,,,,
5D10Y68490,,,,
5D10W91001,,,,
5D10W87245,,,,
5D10W73207,,,,
5D10W46489,,,,
5D10W33963,,,,
5D10V82401,,,,
5D10V82394,,,,
5D10V82362,,,,
5D10V82359,,,,
5D10V82351,,,,
5D10V82350,,,,
5D10Q11723,,,,
5CB1H80744,,,,
5CB1H80740,,,,
5CB1H79966,,,,
5CB1D03528,,,,
5CB1D01489,,,,
5CB1C19405,,,,
5CB1B97779,,,,
5CB1B96203,,,,
5CB1B69158,,,,
5CB1B69097,,,,
5CB1B35067,,,,
5CB1B34808,,,,
5CB1B07167,,,,
5CB1A08845,,,,
5CB0Y99501,,,,
5CB0Y85681,,,,
5CB0Y85307,,,,
5CB0Y57790,,,,
5CB0X57536,,,,
5CB0X56555,,,,
5CB0X56073,,,,
5CB0X55983,,,,
5CB0W45333,,,,
5CB0U43942,,,,
5CB0S95405,,,,
5CB0S72878,,,,
5CB0S17335,,,,
5CB0R08487,,,,
5CB0K25547,,,,
5B10Z21209,,,,
5B10Z21197,,,,
5B10X49077,,,,
5B10X49073,,,,
5B10X49072,,,,
5B10X02603,,,,
5B10W67369,,,,
5B10W67165,,,,
5B10W65297,,,,
5B10W51872,,,,
5B10W51864,,,,
5B10W51863,,,,
5B10W51861,,,,
5B10W51826,,,,
5B10W51825,,,,
5B10W51815,0.235,,,
5B10W13976,,,,
5B10W13974,,,,
5B10W13973,,,,
5B10W13958,,,,
5B10W13954,,,,
5B10W13931,,,,
5B10W13930,,,,
5B10W13910,,,,
5B10W13906,,,,
5B10W13905,,,,
5B10W13900,,,,
5B10W13896,,,,
5B10W13877,,,,
5B10V27761,,,,
5B10T09097,,,,
5B10P54001,,,,
5B10K88049,,,,
5B10K88048,,,,
5B10K88047,,,,
5B10K02219,,,,
5AR72AA,,,,
5A11K67851,,,,
5A11K67850,,,,
5A11K67847,,,,
5A11J75649,,,,
5A11H02883,,,,
5A11E21011,,,,
5A10W86303,,,,
5A10W86302,,,,
5A10W86295,,,,
5A10W86290,,,,
5A10W86289,,,,
5A10W86262,,,,
5A10W86261,,,,
5A10W86255,,,,
5A10W86254,,,,
5A10W86253,,,,
5A10W86252,,,,
5A10W86251,,,,
5A10W86250,,,,
5A10V03255,,,,
5A10V03251,,,,
5A10V03250,,,,
5A10V03248,,,,
5A10J75109,,,,
5951C026,60,128,105,37.5
593-11147,,,,
593-10290,,,,
592-11651,,,,
5901-421,,,,
5901-261,0.284,,15,3
5900-181,3.5,,28.2,26.3
59.J8401.CG1,,,,
5816C003,33,,96.8,39.5
5811123650-SVV,,,,
5801-511,,,,
5779C008,,,,
5776C005,1.1,,25,25
5764C001,,,,
5763C001,,,,
5762C001,,,,
5756C002,,,,
5755C002,,,,
5754C002,,,,
5753C002,,,,
5724C001,,,,
570-AAIS+580-ADGV,,,,
5693C001,5,,42,15.6
5654C004,0.826,,28.4,12.6
5646C002,,,,
5645C002,,,,
5640C002,,,,
55WK2-3YR,,,,
55VSH7J,23.6,,135.3,85.5
55UL3J-M,18.8,,136,81
55UH7N-E.AEK,20.5,,136,80.1
55RC650K,15.5,,139.2,86.3
55QNED80T6A.AEK,19.6,,136,81
55PF650K,12.7,,135.5,82.5
55BDL4511D/00,,,,
55B2H0E,1.18,,17,16
55B2000,0.97,,17,16
5595C001,,,,
5578-230-309,0.14,,14.1,4.3
5525QC_3AE5PAE,,,,
5525QC_3AE5AE,,,,
5525QC_3AE3PAE,,,,
5522QT_3AE5PAE,,,,
5522QT_3AE3PAE,,,,
5520QF_3AE5PAE,,,,
5520QF_3AE3PAE,,,,
5519QA_3AE5PAE,,,,
5518QT_3AE5PAE,,,,
5518QT_3AE3PAE,,,,
5506-561,,,,
5506-191,,5,,
5505-841,,,,
55037963,,,,
55037552,,,,
55037550,,,,
55037507,0.07712999999999999,,10,10
55037247,,,,
55036654,0.13321,,10,4
55036653,0.13,,10,4
55031156,0.112,,5,5.6
55020DRK,0.55,,14,6.5
55020DJF,0.04,21,2.65,
55020DAC,0.382,,12,12
55020CEH,,,,
55020BYE,0.014,13,4.35,15
55020BYA,0.014,12,4.35,14.7
55020BGS,,,12,6.5
55020AGG,0.505,,14,6.5
54G0H00,0.7,,7.6,8.6
5484B001,,,,
5442C001,,,,
5441C001,,,,
5438C001,,,,
5437C004,,,,
542TT,,,3.6,18.2
540-BDCI,,,,
540-11126,,,,
53X27AA,0.107,,,
53DKX,,,9.26,29
53823,,,,
53822,3.62,,40,20
53815,,,,
53811,3.62,,40,20
53810,,,,
53803,,,,
53801,,,,
53683,0.193,,10,15.5
5331190,,,60,220
5331113,1500,,60,220
5330190,,,60,200
5330133,1500,,60,200
5330123,1500,,60,200
5330113,1500,,60,200
5329190,1500,,60,200
5329131,815,,60,200
5329121,815,,60,200
5329111,815,,60,200
5328123,1500,,60,180
5327190,,,60,180
5326190,,,60,120
5326131,815,,60,120
5326121,815,,60,120
5325190,,,60,80
5325121,815,,60,80
5316816,1835,,80,220
5316116,1835,,80,220
5315818,1835,,60,220
5315118,1500,,60,220
5314816,1835,,80,220
5314126,1500,,80,220
5314116,1500,,80,220
5313813,1835,,60,220
5313113,1500,,60,220
5312124,815,,80,220
5312114,815,,80,220
5311826,1835,,80,200
5311816,1835,,80,200
5311126,1500,,80,200
5311116,101,,80,200
5310818,1835,,60,200
5310128,1500,,60,200
5310118,1500,,60,200
5309826,1835,,80,200
5309816,1835,,80,200
5309190,,,80,200
5309166,155,,80,200
5309156,,,80,200
5309136,1500,,80,200
5309126,1500,,80,200
5309116,,,,
5308823,1835,,60,200
5308813,1835,,60,200
5308190,,,60,200
5308123,1500,,60,200
5308113,1500,,60,200
5307190,,,80,200
5307157,357,,80,200
5307154,815,,80,200
5307134,815,,80,200
5307124,,,80,200
5307114,1500,,80,200
5306190,,,80,200
5306122,408,,80,200
5305124,815,,80,180
5304126,1500,,80,120
5304116,732,,80,120
5303154,815,,80,120
5303134,815,,80,120
5303124,815,,80,120
5303114,815,,80,120
5227B001,,,,
5226B001,,,,
5225B013,,,,
5225B001,,,,
5224B012,,,,
5224B010,,,,
5224B001,,,,
52-2010,,,,
52-2005,,,35,
52-1999,,,30,
52-1980,,,,
520-AANY,0.454,0.3,40.6,3.9
520-36,,,71.2,2.3
51J8876,,,,
51F2H0E,0.9,,45,18.2
5187-3495,,,,
5158C004,60,,45.1,36
5158C001,60,,45.1,36
513,0.13,22,22,
5110B003,,,,
51060HQA,,,,
5101-119,,,2.85,16.3
50V6C-UK,,,123,76.8
50UV2F53DBU,12.3,,121.5,74.2
50UM662H4LC.AEK,15,,121.5,77.5
50QNED87T6B.AEK,20.1,,121.5,81
50QF5D53DB,,,121.5,78
50Q7C-UK,16.1,,126.5,77.5
50PF650K,10.6,,123,76.8
